coin,action,price,balance,profit
shiba-inu,buy,1.3137942914909218e-05,0.25,0
shiba-inu,buy,1.3154957741789985e-05,0.23,0
shiba-inu,buy,1.3212817066232674e-05,0.2,0
shiba-inu,sell,1.3323670827958267e-05,0.21,0.0
shiba-inu,sell,1.3323670827958267e-05,0.21,0.0
shiba-inu,buy,1.3323670827958267e-05,0.18,0
shiba-inu,sell,1.3356407180253882e-05,0.19,0.0
shiba-inu,buy,1.3356407180253882e-05,0.17,0
shiba-inu,buy,1.3234445759735536e-05,0.15,0
shiba-inu,sell,1.3411916370387189e-05,0.15,0.0
shiba-inu,sell,1.3411916370387189e-05,0.15,0.0
shiba-inu,buy,1.3411916370387189e-05,0.14,0
shiba-inu,buy,1.3358931028051302e-05,0.12,0
shiba-inu,sell,1.3476985259330831e-05,0.12,0.0
shiba-inu,buy,1.3476985259330831e-05,0.11,0
shiba-inu,sell,1.3587884495791513e-05,0.11,0.0
shiba-inu,sell,1.3587884495791513e-05,0.11,0.0
shiba-inu,sell,1.3587884495791513e-05,0.11,0.0
shiba-inu,sell,1.3587884495791513e-05,0.11,0.0
shiba-inu,buy,1.3587884495791513e-05,0.1,0
shiba-inu,buy,1.3522718290914781e-05,0.09,0
shiba-inu,buy,1.3346570085559506e-05,0.08,0
shiba-inu,sell,1.287766826862935e-05,0.08,-0.0
shiba-inu,sell,1.2960154890606645e-05,0.08,-0.0
shiba-inu,sell,1.2960154890606645e-05,0.08,-0.0
shiba-inu,sell,1.2960154890606645e-05,0.08,-0.0
bitcoin,buy,106195.125,900.0,0
bitcoin,buy,106365.0703125,810.0,0
bitcoin,buy,106338.0859375,729.0,0
bitcoin,buy,106200.3359375,656.1,0
bitcoin,buy,106381.9765625,590.49,0
bitcoin,sell,105820.59375,590.14,-0.35
bitcoin,sell,105820.59375,589.68,-0.46
bitcoin,sell,105820.59375,589.28,-0.39
bitcoin,sell,105820.59375,589.02,-0.26
bitcoin,sell,105820.59375,588.68,-0.35
bitcoin,buy,105820.59375,529.81,0
bitcoin,buy,105739.796875,476.83,0
bitcoin,buy,105745.4453125,429.14,0
bitcoin,sell,105541.859375,429.05,-0.09
bitcoin,sell,105541.859375,428.95,-0.1
bitcoin,sell,105541.859375,428.8,-0.16
bitcoin,buy,106713.3046875,385.92,0
bitcoin,buy,107242.890625,347.33,0
bitcoin,sell,107774.4609375,347.75,0.43
bitcoin,buy,107774.4609375,312.98,0
bitcoin,buy,107834.6484375,281.68,0
bitcoin,sell,107159.1875,281.48,-0.2
bitcoin,sell,107159.1875,281.29,-0.2
bitcoin,buy,107159.1875,253.16,0
bitcoin,buy,107630.5390625,227.84,0
bitcoin,buy,107748.6796875,205.06,0
bitcoin,buy,107773.015625,184.55,0
bitcoin,sell,108397.203125,184.97,0.42
bitcoin,sell,108397.203125,185.29,0.32
bitcoin,sell,108397.203125,185.47,0.18
bitcoin,sell,108397.203125,185.61,0.14
bitcoin,buy,108397.203125,167.05,0
bitcoin,sell,108499.46875,167.19,0.14
bitcoin,buy,108499.46875,150.47,0
bitcoin,buy,108602.9375,135.42,0
bitcoin,buy,108753.6015625,121.88,0
bitcoin,sell,110035.6015625,122.16,0.28
bitcoin,sell,110035.6015625,122.4,0.24
bitcoin,sell,110035.6015625,122.59,0.2
bitcoin,sell,110035.6015625,122.75,0.16
bitcoin,buy,110035.6015625,110.48,0
bitcoin,buy,110192.8046875,99.43,0
bitcoin,buy,110295.875,89.49,0
bitcoin,buy,109971.0234375,80.54,0
bitcoin,sell,109815.7578125,80.5,-0.04
bitcoin,sell,109815.7578125,80.46,-0.04
bitcoin,buy,109815.7578125,72.41,0
bitcoin,sell,109690.0234375,72.37,-0.04
bitcoin,buy,109690.0234375,65.14,0
bitcoin,sell,109569.8359375,65.1,-0.03
bitcoin,buy,109569.8359375,58.59,0
bitcoin,buy,109552.34375,52.73,0
bitcoin,sell,109378.296875,52.7,-0.03
bitcoin,buy,109378.296875,47.43,0
bitcoin,buy,109547.21875,42.69,0
bitcoin,sell,109268.703125,42.66,-0.03
bitcoin,buy,109268.703125,38.39,0
bitcoin,sell,109102.0703125,38.37,-0.03
bitcoin,sell,109102.0703125,38.34,-0.02
bitcoin,sell,109102.0703125,38.32,-0.02
bitcoin,buy,109102.0703125,34.49,0
bitcoin,buy,109524.046875,31.04,0
bitcoin,buy,109325.9453125,27.94,0
bitcoin,sell,108635.9609375,27.9,-0.04
bitcoin,sell,108635.9609375,27.88,-0.02
bitcoin,sell,108635.9609375,27.86,-0.02
bitcoin,sell,108635.9609375,27.83,-0.03
bitcoin,sell,108635.9609375,27.81,-0.02
bitcoin,buy,109439.390625,25.03,0
bitcoin,buy,109977.2578125,22.53,0
bitcoin,buy,109839.5390625,20.28,0
bitcoin,buy,109742.703125,18.25,0
bitcoin,sell,110272.2734375,18.27,0.02
bitcoin,buy,110272.2734375,16.44,0
bitcoin,sell,109818.015625,16.44,-0.01
bitcoin,buy,109818.015625,14.79,0
bitcoin,sell,109612.796875,14.78,-0.01
bitcoin,buy,109612.796875,13.3,0
bitcoin,buy,109733.734375,11.97,0
bitcoin,sell,109456.3515625,11.97,-0.01
bitcoin,sell,109456.3515625,11.96,-0.01
bitcoin,buy,109456.3515625,10.77,0
bitcoin,buy,109597.2265625,9.69,0
bitcoin,sell,109253.6171875,9.68,-0.01
bitcoin,sell,109253.6171875,9.67,-0.0
bitcoin,sell,109253.6171875,9.67,-0.01
bitcoin,sell,109253.6171875,9.67,-0.0
